İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Fiyat
26888943,31 Aralık 2024,Audi,A6,A6 Sedan 40 TDI Quattro Sport,2022,80.000 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,201 - 225 HP,4WD (Sürekli),İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,4.400.000 TL
26882467,31 Aralık 2024,Hyundai,i20,1.4 MPI Jump,2022,37.000 km,Düz,Benzin,Hatchback/5,Beyaz,1368 cc,100 hp,Önden Çekiş,İkinci El,"5,7 lt",40 lt,2 değişen,Takasa Uygun,Sahibinden,858.000 TL
26810025,31 Aralık 2024,Audi,A6,A6 Sedan 40 TDI Quattro Sport,2022,82.000 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,201 - 225 HP,4WD (Sürekli),İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,4.350.000 TL
26790157,31 Aralık 2024,Volkswagen,Passat,1.6 TDi BlueMotion Impression,2017,110.000 km,Otomatik,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,3 boyalı,Takasa Uygun,Galeriden,1.270.000 TL
26790028,31 Aralık 2024,Volkswagen,Passat,1.6 TDi BlueMotion Highline,2016,177.000 km,Otomatik,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,1.565.000 TL
26416000,31 Aralık 2024,Mercedes - Benz,E,200 d Exclusive,2022,56.000 km,Otomatik,Dizel,Sedan,Siyah,1597 cc,160 hp,Arkadan İtiş,İkinci El,"4,7 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,3.700.000 TL
26405797,31 Aralık 2024,Audi,A6,A6 Sedan 2.0 TDI Quattro,2018,156.000 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,176 - 200 HP,4WD (Sürekli),İkinci El,,,1 boyalı,Takasa Uygun,Galeriden,2.590.000 TL
26369209,31 Aralık 2024,Audi,A6,A6 Sedan 40 TDI Quattro Sport,2020,145.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,1801 - 2000 cm3,201 - 225 HP,4WD (Sürekli),İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,3.650.000 TL
26278881,31 Aralık 2024,Volvo,S90,2.0 D4 Inscription,2017,123.000 km,Otomatik,Dizel,Sedan,Beyaz,1801 - 2000 cm3,176 - 200 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,2.450.000 TL
25787162,31 Aralık 2024,Ford,Escort,1.6 CL,1995,200.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1597 cc,90 hp,Önden Çekiş,İkinci El,,55 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,175.000 TL
27503983,31 Aralık 2024,Honda,Civic,1.6 i-VTEC Elegance,2007,255.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,1595 cc,125 hp,Önden Çekiş,İkinci El,"7,1 lt",50 lt,5 boyalı,Takasa Uygun,Sahibinden,645.000 TL
27503674,31 Aralık 2024,Toyota,Auris,1.4 D-4D Comfort Extra,2010,128.000 km,Düz,Dizel,Hatchback/5,Gri,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,7 lt",55 lt,"1 değişen, 1 boyalı",,Sahibinden,585.000 TL
26897928,31 Aralık 2024,Fiat,Albea,1.6 Dynamic,2006,232.512 km,Düz,LPG & Benzin,Sedan,Gri,1596 cc,103 hp,Önden Çekiş,İkinci El,"8,3 lt",47 lt,1 değişen,,Sahibinden,250.000 TL
26790157,31 Aralık 2024,Volkswagen,Passat,1.6 TDi BlueMotion Impression,2017,110.000 km,Otomatik,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,3 boyalı,Takasa Uygun,Galeriden,1.270.000 TL
26790028,31 Aralık 2024,Volkswagen,Passat,1.6 TDi BlueMotion Highline,2016,177.000 km,Otomatik,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,1.565.000 TL
26416000,31 Aralık 2024,Mercedes - Benz,E,200 d Exclusive,2022,56.000 km,Otomatik,Dizel,Sedan,Siyah,1597 cc,160 hp,Arkadan İtiş,İkinci El,"4,7 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,3.700.000 TL
26405797,31 Aralık 2024,Audi,A6,A6 Sedan 2.0 TDI Quattro,2018,156.000 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,176 - 200 HP,4WD (Sürekli),İkinci El,,,1 boyalı,Takasa Uygun,Galeriden,2.590.000 TL
26369209,31 Aralık 2024,Audi,A6,A6 Sedan 40 TDI Quattro Sport,2020,145.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,1801 - 2000 cm3,201 - 225 HP,4WD (Sürekli),İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,3.650.000 TL
26278881,31 Aralık 2024,Volvo,S90,2.0 D4 Inscription,2017,123.000 km,Otomatik,Dizel,Sedan,Beyaz,1801 - 2000 cm3,176 - 200 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,2.450.000 TL
25787162,31 Aralık 2024,Ford,Escort,1.6 CL,1995,200.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1597 cc,90 hp,Önden Çekiş,İkinci El,,55 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,175.000 TL
27503983,31 Aralık 2024,Honda,Civic,1.6 i-VTEC Elegance,2007,255.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,1595 cc,125 hp,Önden Çekiş,İkinci El,"7,1 lt",50 lt,5 boyalı,Takasa Uygun,Sahibinden,645.000 TL
27503674,31 Aralık 2024,Toyota,Auris,1.4 D-4D Comfort Extra,2010,128.000 km,Düz,Dizel,Hatchback/5,Gri,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,7 lt",55 lt,"1 değişen, 1 boyalı",,Sahibinden,585.000 TL
26897928,31 Aralık 2024,Fiat,Albea,1.6 Dynamic,2006,232.512 km,Düz,LPG & Benzin,Sedan,Gri,1596 cc,103 hp,Önden Çekiş,İkinci El,"8,3 lt",47 lt,1 değişen,,Sahibinden,250.000 TL
26893817,31 Aralık 2024,Proton,415,GLS,1998,285.000 km,Düz,LPG & Benzin,Sedan,Mavi,1468 cc,91 hp,Önden Çekiş,İkinci El,"7,8 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,132.500 TL
26893510,31 Aralık 2024,Ford,Fiesta,1.4 TDCi Titanium X,2012,128.500 km,Düz,Dizel,Hatchback/5,Beyaz,1398 cc,70 hp,Önden Çekiş,İkinci El,"4,2 lt",45 lt,4 boyalı,,Sahibinden,575.000 TL
26891248,31 Aralık 2024,Opel,Astra,1.6 Enjoy Plus,2011,84.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,8 lt",52 lt,2 değişen,,Sahibinden,630.000 TL
26886789,31 Aralık 2024,Fiat,Egea,1.3 Multijet Easy,2020,152.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",45 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,643.000 TL
26886207,31 Aralık 2024,Volkswagen,Passat,1.6 TDi BlueMotion Business,2020,125.000 km,Yarı Otomatik,Dizel,Station wagon,Füme,1598 cc,120 hp,Önden Çekiş,İkinci El,"4,4 lt",66 lt,3 değişen,,Sahibinden,1.275.000 TL
26886103,31 Aralık 2024,Volkswagen,Jetta,1.6 Midline,2008,164.000 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1595 cc,102 hp,Önden Çekiş,İkinci El,"7,4 lt",55 lt,"3 değişen, 5 boyalı",,Sahibinden,400.000 TL
26885324,31 Aralık 2024,Audi,A6,A6 Sedan 1.8 T Advance,2000,330.000 km,Otomatik,LPG & Benzin,Sedan,Gri,1781 cc,150 hp,Önden Çekiş,İkinci El,"9,2 lt",70 lt,4 boyalı,Takasa Uygun,Sahibinden,550.000 TL
27503877,31 Aralık 2024,Ford,Focus,1.5 Ti-VCT Trend X,2021,119.000 km,Otomatik,Benzin,Sedan,Mavi,1497 cc,123 hp,Önden Çekiş,İkinci El,"6,5 lt",52 lt,Tamamı orjinal,,Sahibinden,1.049.000 TL
26895292,31 Aralık 2024,Mitsubishi,Colt,1.3 Invite,2008,268.000 km,Düz,LPG & Benzin,Hatchback/3,Gri (Gümüş),1332 cc,95 hp,Önden Çekiş,İkinci El,"5,8 lt",47 lt,12 boyalı,Takasa Uygun,Sahibinden,300.000 TL
26887289,31 Aralık 2024,Fiat,Albea,Sole 1.4 Fire Dynamic,2009,261.000 km,Düz,LPG & Benzin,Sedan,Gri,1368 cc,77 hp,Önden Çekiş,İkinci El,"6,2 lt",48 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,380.000 TL
26885629,31 Aralık 2024,Renault,Megane,1.5 dCi Authentique,2008,280.000 km,Düz,Dizel,Sedan,Gri,1461 cc,80 hp,Önden Çekiş,İkinci El,"4,6 lt",60 lt,"4 değişen, 8 boyalı",,Sahibinden,410.000 TL
26885157,31 Aralık 2024,Renault,Megane,1.6 Grandtour Dynamique,2004,272.000 km,Otomatik,LPG & Benzin,Sedan,Kırmızı,1598 cc,115 hp,Önden Çekiş,İkinci El,"7,7 lt",60 lt,4 boyalı,,Sahibinden,440.000 TL
27503745,31 Aralık 2024,Renault,Fluence,1.5 dCi Icon,2016,92.330 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,940.000 TL
26900843,31 Aralık 2024,Opel,Corsa,1.2 Turbo Elegance,2021,18.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1199 cc,100 hp,Önden Çekiş,İkinci El,"4,3 lt",44 lt,Tamamı orjinal,Takasa Uygun,Galeriden,1.075.000 TL
26900835,31 Aralık 2024,Citroen,C3,1.2 PureTech Shine,2023,22.850 km,Otomatik,Benzin,Hatchback/5,Mavi,1199 cc,112 hp,Önden Çekiş,İkinci El,"4,8 lt",47 lt,Tamamı orjinal,Takasa Uygun,Galeriden,1.045.000 TL
26900610,31 Aralık 2024,Fiat,Punto,Grande 1.3 Multijet Emotion,2009,74.000 km,Otomatik,Dizel,Hatchback/5,Bordo,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,613.000 TL
26889501,31 Aralık 2024,Fiat,Marea,1.6 ELX,2001,384.000 km,Düz,LPG & Benzin,Sedan,Lacivert,1581 cc,103 hp,Önden Çekiş,İkinci El,"8,3 lt",63 lt,Belirtilmemiş,Takasa Uygun,Galeriden,232.500 TL
26310837,31 Aralık 2024,Volkswagen,Polo,1.6,2000,265.000 km,Düz,LPG & Benzin,Hatchback/5,Mavi,1598 cc,75 hp,Önden Çekiş,İkinci El,"6,9 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,295.600 TL
23696332,31 Aralık 2024,Mercedes - Benz,A,A 170 CDI Classic,2004,171.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1689 cc,95 hp,Önden Çekiş,,"4,9 lt",54 lt,Belirtilmemiş,Takasa Uygun,Galeriden,545.000 TL
23096645,31 Aralık 2024,Renault,R 12,TS,1984,999.999 km,Düz,LPG & Benzin,Sedan,Mavi,1300 cc,54 hp,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden,102.000 TL
27503808,31 Aralık 2024,Toyota,Corolla,1.6 GLi,1996,359.000 km,Düz,LPG & Benzin,Sedan,Bordo,1587 cc,105 hp,Önden Çekiş,İkinci El,,50 lt,"1 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,350.000 TL
27503784,31 Aralık 2024,Volkswagen,Polo,1.2 Trendline,2012,130.000 km,Düz,Benzin,Hatchback/5,Gri,1198 cc,70 hp,Önden Çekiş,İkinci El,"5,5 lt",45 lt,Belirtilmemiş,,Sahibinden,550.000 TL
26905532,31 Aralık 2024,Citroen,C4 Picasso,1.6 HDi SX PK,2008,216.000 km,Yarı Otomatik,Dizel,MPV,Gri (Gümüş),1560 cc,111 hp,Önden Çekiş,İkinci El,"5,7 lt",60 lt,2 boyalı,Takasa Uygun,Galeriden,519.000 TL
26888336,31 Aralık 2024,Renault,Fluence,1.5 dCi Business,2010,260.000 km,Düz,Dizel,Sedan,Gri,1461 cc,85 hp,Önden Çekiş,İkinci El,"4,5 lt",60 lt,"1 değişen, 6 boyalı",Takasa Uygun,Galeriden,480.000 TL
26886678,31 Aralık 2024,Fiat,Egea,1.4 Fire Urban Plus,2020,103.000 km,Düz,Benzin,Sedan,Gri,1368 cc,95 hp,Önden Çekiş,İkinci El,"5,7 lt",45 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden,625.000 TL
27507701,31 Aralık 2024,Renault,Megane,1.5 Blue DCI Touch,2022,46.922 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,115 hp,Önden Çekiş,İkinci El,"4,1 lt",49 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,1.195.000 TL
27503763,31 Aralık 2024,Fiat,Linea,1.4 Fire Pop,2016,157.256 km,Düz,Benzin,Sedan,Beyaz,1368 cc,77 hp,Önden Çekiş,İkinci El,"6,3 lt",45 lt,8 boyalı,,Sahibinden,490.000 TL
27503596,31 Aralık 2024,Citroen,C-Elysee,1.2 PureTech Live,2018,74.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1199 cc,83 hp,Önden Çekiş,İkinci El,"4,9 lt",50 lt,Belirtilmemiş,,Sahibinden,575.000 TL
26891047,31 Aralık 2024,Renault,Fluence,1.5 dCi Extreme Edition,2012,91.000 km,Yarı Otomatik,Dizel,Sedan,Füme,1461 cc,110 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,728.000 TL
26866790,31 Aralık 2024,Citroen,C4,1.6 HDi SX,2006,365.000 km,Düz,Dizel,Hatchback/5,Siyah,1560 cc,111 hp,Önden Çekiş,İkinci El,"4,8 lt",60 lt,"1 değişen, 5 boyalı",Takasa Uygun Değil,Galeriden,335.000 TL
27503756,31 Aralık 2024,Opel,Corsa,1.2 Enjoy,2008,95.000 km,Düz,Benzin,Hatchback/5,Kırmızı,1229 cc,80 hp,Önden Çekiş,İkinci El,"6,1 lt",45 lt,Tamamı orjinal,,Sahibinden,500.000 TL
27503685,31 Aralık 2024,Toyota,Verso,1.6 Comfort Extra,2011,276.000 km,Düz,LPG & Benzin,MPV,Beyaz,1598 cc,132 hp,Önden Çekiş,İkinci El,"6,7 lt",60 lt,2 boyalı,,Sahibinden,680.000 TL
26896182,31 Aralık 2024,Renault,Megane,1.5 dCi Extreme,2009,321.500 km,Düz,Dizel,Sedan,Gri,1461 cc,85 hp,Önden Çekiş,İkinci El,"4,7 lt",60 lt,Belirtilmemiş,,Sahibinden,385.000 TL
26291499,31 Aralık 2024,Seat,Leon,1.6 TDI Style,2017,262.000 km,Yarı Otomatik,Dizel,Hatchback/5,Mavi (metalik),1598 cc,115 hp,Önden Çekiş,İkinci El,"4,1 lt",50 lt,"2 değişen, 6 boyalı",Takasa Uygun Değil,Galeriden,859.000 TL
27507684,31 Aralık 2024,Renault,Megane,1.5 Blue DCI Icon,2021,38.426 km,Yarı Otomatik,Dizel,Sedan,Gri (titanyum),1461 cc,115 hp,Önden Çekiş,İkinci El,"4,2 lt",49 lt,2 değişen,Takasa Uygun,Galeriden,1.200.000 TL
27503761,31 Aralık 2024,Renault,Scenic,1.6 Dynamique,2004,282.600 km,Düz,LPG & Benzin,MPV,Sarı,1598 cc,115 hp,Önden Çekiş,İkinci El,"7,2 lt",60 lt,12 boyalı,,Sahibinden,400.000 TL
27503699,31 Aralık 2024,Fiat,Egea,1.4 Fire Urban Plus,2020,90.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1368 cc,95 hp,Önden Çekiş,İkinci El,"5,7 lt",45 lt,Tamamı orjinal,,Sahibinden,710.000 TL
27502692,31 Aralık 2024,Hyundai,i20,1.2 MPI Team,2009,137.221 km,Düz,Benzin,Hatchback/5,Gri (metalik),1248 cc,78 hp,Önden Çekiş,İkinci El,"5,2 lt",45 lt,"2 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,455.000 TL
27503744,31 Aralık 2024,Ford,Mondeo,1.6 TDCi Titanium,2015,221.000 km,Düz,Dizel,Sedan,Gri,1560 cc,115 hp,Önden Çekiş,İkinci El,"4,1 lt",,"1 değişen, 2 boyalı",,Sahibinden,875.000 TL
27503600,31 Aralık 2024,Audi,A3,A3 Sportback 1.6 TDI Ambition,2013,203.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,1 değişen,,Sahibinden,890.000 TL
26291499,31 Aralık 2024,Seat,Leon,1.6 TDI Style,2017,262.000 km,Yarı Otomatik,Dizel,Hatchback/5,Mavi (metalik),1598 cc,115 hp,Önden Çekiş,İkinci El,"4,1 lt",50 lt,"2 değişen, 6 boyalı",Takasa Uygun Değil,Galeriden,859.000 TL
27507684,31 Aralık 2024,Renault,Megane,1.5 Blue DCI Icon,2021,38.426 km,Yarı Otomatik,Dizel,Sedan,Gri (titanyum),1461 cc,115 hp,Önden Çekiş,İkinci El,"4,2 lt",49 lt,2 değişen,Takasa Uygun,Galeriden,1.200.000 TL
27503761,31 Aralık 2024,Renault,Scenic,1.6 Dynamique,2004,282.600 km,Düz,LPG & Benzin,MPV,Sarı,1598 cc,115 hp,Önden Çekiş,İkinci El,"7,2 lt",60 lt,12 boyalı,,Sahibinden,400.000 TL
27503699,31 Aralık 2024,Fiat,Egea,1.4 Fire Urban Plus,2020,90.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1368 cc,95 hp,Önden Çekiş,İkinci El,"5,7 lt",45 lt,Tamamı orjinal,,Sahibinden,710.000 TL
27502692,31 Aralık 2024,Hyundai,i20,1.2 MPI Team,2009,137.221 km,Düz,Benzin,Hatchback/5,Gri (metalik),1248 cc,78 hp,Önden Çekiş,İkinci El,"5,2 lt",45 lt,"2 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,455.000 TL
27503744,31 Aralık 2024,Ford,Mondeo,1.6 TDCi Titanium,2015,221.000 km,Düz,Dizel,Sedan,Gri,1560 cc,115 hp,Önden Çekiş,İkinci El,"4,1 lt",,"1 değişen, 2 boyalı",,Sahibinden,875.000 TL
27503600,31 Aralık 2024,Audi,A3,A3 Sportback 1.6 TDI Ambition,2013,203.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1598 cc,105 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,1 değişen,,Sahibinden,890.000 TL
26837941,31 Aralık 2024,Fiat,Linea,1.3 Multijet Urban,2014,120.000 km,Düz,Dizel,Sedan,Füme,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,9 lt",45 lt,Belirtilmemiş,,Sahibinden,560.000 TL
27506573,31 Aralık 2024,Audi,A3,A3 Sportback 1.6 TDI Ambiente,2015,189.000 km,Yarı Otomatik,Dizel,Hatchback/3,Beyaz,1598 cc,110 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,1.115.000 TL
27506245,31 Aralık 2024,Honda,Civic,1.6 i-VTEC ECO Elegance,2018,112.000 km,Yarı Otomatik,LPG & Benzin,Sedan,Beyaz,1597 cc,125 hp,Önden Çekiş,İkinci El,"6,7 lt",47 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,1.215.000 TL
27505983,31 Aralık 2024,Audi,A3,A3 Sedan 1.6 TDI Ambition,2015,168.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1598 cc,110 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,9 boyalı,,Sahibinden,1.138.000 TL
27505870,31 Aralık 2024,Ford,Focus,1.5 TDCi Trend X,2021,161.000 km,Otomatik,Dizel,Sedan,Beyaz,1500 cc,120 hp,Önden Çekiş,İkinci El,"4,3 lt",47 lt,Belirtilmemiş,,Sahibinden,1.100.000 TL
27505298,31 Aralık 2024,Audi,A5,A5 Sportback 2.0 TDI,2012,210.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1968 cc,177 hp,Önden Çekiş,İkinci El,"4,8 lt",65 lt,"4 değişen, 4 boyalı",,Sahibinden,1.100.000 TL
27504380,31 Aralık 2024,Opel,Corsa,1.2 Twinport Essentia,2009,250.000 km,Düz,Benzin,Hatchback/5,Mavi (metalik),1229 cc,80 hp,Önden Çekiş,İkinci El,"6,1 lt",45 lt,Tamamı boyalı,Takasa Uygun,Sahibinden,1.111.111 TL
27504118,31 Aralık 2024,Volkswagen,VW CC,1.4 TSi,2016,151.000 km,Yarı Otomatik,Benzin,Coupe,Beyaz,1395 cc,150 hp,Önden Çekiş,İkinci El,"5,6 lt",70 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,1.190.000 TL
27503686,31 Aralık 2024,Fiat,Panda,1.2 Dynamic,2006,97.000 km,Düz,Benzin,Hatchback/5,Kırmızı,1242 cc,60 hp,Önden Çekiş,İkinci El,"5,6 lt",35 lt,Tamamı orjinal,,Sahibinden,375.000 TL
26267570,31 Aralık 2024,Toyota,Corolla,1.6 Terra,2001,238.000 km,Otomatik,Benzin,Sedan,Gri (Gümüş),1598 cc,110 hp,Önden Çekiş,İkinci El,"7,8 lt",50 lt,"3 değişen, 7 boyalı",Takasa Uygun Değil,Sahibinden,380.000 TL
27506016,31 Aralık 2024,Toyota,Corolla,1.5 Vision,2023,20.000 km,Otomatik,Benzin,Sedan,Beyaz,1490 cc,125 hp,Önden Çekiş,İkinci El,"6,3 lt",50 lt,Tamamı orjinal,,Sahibinden,1.100.000 TL
27503660,31 Aralık 2024,Volkswagen,Polo,1.2 Trendline,2013,84.500 km,Düz,Benzin,Hatchback/5,Beyaz,1198 cc,70 hp,Önden Çekiş,İkinci El,"5,5 lt",45 lt,3 değişen,Takasa Uygun Değil,Sahibinden,525.000 TL
27503582,31 Aralık 2024,Honda,City,1.4 ES,2011,190.000 km,Düz,Benzin,Sedan,Yeşil (metalik),1339 cc,100 hp,Önden Çekiş,İkinci El,"6,4 lt",42 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,485.000 TL
27503332,31 Aralık 2024,Mercedes - Benz,B,B 150 Boyut,2009,180.000 km,Otomatik,LPG & Benzin,MPV,Gri (Gümüş),1498 cc,95 hp,Önden Çekiş,İkinci El,"7,3 lt",54 lt,5 boyalı,,Sahibinden,640.000 TL
27501348,31 Aralık 2024,BMW,4 Serisi,428i xDrive M Sport,2013,130.000 km,Otomatik,Benzin,Coupe,Füme,1801 - 2000 cm3,326 - 350 HP,4WD (Sürekli),İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden,2.750.000 TL
27501311,31 Aralık 2024,Renault,Clio,1.0 TCe Touch,2021,25.000 km,Otomatik,Benzin,Hatchback/5,Füme,999 cc,100 hp,Önden Çekiş,İkinci El,5 lt,42 lt,Belirtilmemiş,Takasa Uygun,Galeriden,925.000 TL
27501288,31 Aralık 2024,Volkswagen,Polo,1.0 TSi Comfortline,2021,21.950 km,Yarı Otomatik,Benzin,Hatchback/5,Turuncu,999 cc,95 hp,Önden Çekiş,İkinci El,"4,6 lt",40 lt,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,995.000 TL
27501163,31 Aralık 2024,Opel,Astra,1.6 CDTI Edition,2016,190.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,136 hp,Önden Çekiş,İkinci El,"4,2 lt",56 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,635.000 TL
27500618,31 Aralık 2024,Opel,Corsa,1.4 Twinport Essentia,2012,120.000 km,Otomatik,Benzin,Hatchback/5,Gri (Gümüş),1364 cc,100 hp,Önden Çekiş,İkinci El,"5,7 lt",45 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,535.000 TL
26897046,31 Aralık 2024,Ford,Fiesta,1.5 TDCi Trend,2015,192.000 km,Düz,Dizel,Hatchback/5,Beyaz,1498 cc,75 hp,Önden Çekiş,İkinci El,"3,7 lt",42 lt,"2 değişen, 3 boyalı",Takasa Uygun Değil,Sahibinden,430.000 TL
25977448,31 Aralık 2024,Ford,Escort,1.6 CLX,1996,230.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1597 cc,90 hp,Önden Çekiş,İkinci El,,55 lt,Belirtilmemiş,,Sahibinden,226.000 TL
27503650,31 Aralık 2024,Opel,Corsa,1.3 CDTI Active,2013,220.000 km,Düz,Dizel,Hatchback/5,Siyah,1248 cc,95 hp,Önden Çekiş,İkinci El,"3,6 lt",45 lt,Belirtilmemiş,,Sahibinden,425.000 TL
27503643,31 Aralık 2024,Peugeot,308,1.6 BlueHdi Active,2015,112.500 km,Otomatik,Dizel,Hatchback/5,Beyaz,1560 cc,122 hp,Önden Çekiş,İkinci El,"3,5 lt",53 lt,1 boyalı,,Sahibinden,837.000 TL
26888125,31 Aralık 2024,Volkswagen,Golf,1.6 Pacific,2004,200.751 km,Düz,Benzin,Hatchback/5,Siyah,1401 - 1600 cm3,101 - 125 HP,-,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,560.000 TL
27507671,31 Aralık 2024,Toyota,Corolla,1.33 Life,2014,151.000 km,Düz,Benzin,Sedan,Beyaz,1329 cc,99 hp,Önden Çekiş,İkinci El,"5,8 lt",55 lt,7 boyalı,Takasa Uygun,Galeriden,529.999 TL
27506793,31 Aralık 2024,Opel,Corsa,1.3 CDTI Essentia,2004,286.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1248 cc,70 hp,Önden Çekiş,İkinci El,"4,5 lt",44 lt,Belirtilmemiş,,Sahibinden,345.000 TL
27503622,31 Aralık 2024,Fiat,Egea,1.6 Multijet Urban,2017,226.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,İkinci El,"4,2 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,635.000 TL
27503584,31 Aralık 2024,Volvo,S60,2.0 T,2006,293.900 km,Yarı Otomatik,Benzin,Sedan,Siyah,1984 cc,180 hp,Önden Çekiş,İkinci El,"10,1 lt",70 lt,Belirtilmemiş,,Sahibinden,569.000 TL
26887042,31 Aralık 2024,Renault,Megane,1.6 Extreme,2009,149.450 km,Düz,LPG & Benzin,Sedan,Füme,1598 cc,110 hp,Önden Çekiş,İkinci El,"6,8 lt",60 lt,7 boyalı,Takasa Uygun Değil,Sahibinden,545.000 TL
27503770,31 Aralık 2024,Renault,Megane,1.5 dCi Dynamique,2004,315.000 km,Düz,Dizel,Sedan,Bej,1461 cc,100 hp,Önden Çekiş,İkinci El,"4,6 lt",60 lt,"1 değişen, 11 boyalı",,Sahibinden,349.000 TL
27502238,31 Aralık 2024,Citroen,C4,1.5 BlueHDi Feel Bold,2023,95.000 km,Otomatik,Dizel,Sedan,Füme,1499 cc,132 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,1.200.000 TL
